121,Wed Dec 09 2020 15:37:14 GMT-0800 (Pacific Standard Time),Thu Dec 31 21,Sun Dec 06 2020 15:37:14 GMT-0800 (Pacific Standard Time),Fri122,Fri Dec 11 2020 15:37:14 GMT-0800 (Pacific Standard Time),Sun Dec 20 2020 15:37:14 GMT-0800 (Pacific Standard Time),1,6,6,3673,1,763
123,Sat Dec 05 2020 15:37:14 GMT-0800 (Pacific Standard Time),Tue Dec 08 2020 15:37:14 GMT-0800 (Pacific Standard Time),7,7,1,2140,1,605
124,Sun Dec 06 2020 15:37:14 GMT-0800 (Pacific Standard Time),Fri Dec 11 2020 15:37:14 GMT-0800 (Pacific Standard Time),13,1,1,4184,1,33
125,Tue Dec 08 2020 15:37:14 GMT-0800 (Pacific Standard Time),Wed Dec 30 2020 15:37:14 GMT-0800 (Pacific Standard Time),5,1,3,10316,1,916
126,Fri Dec 11 2020 15:37:14 GMT-0800 (Pacific Standard Time),Fri Dec 18 2020 15:37:14 GMT-0800 (Pacific Standard Time),5,8,1,9294,1,938
127,Mon Dec 07 2020 15:37:14 GMT-0800 (Pacific Standard Time),Tue Dec 29 2020 15:37:14 GMT-0800 (Pacific Standard Time),14,1,0,10316,1,401
128,Thu Dec 10 2020 15:37:14 GMT-0800 (Pacific Standard Time),Tue Dec 29 2020 15:37:14 GMT-0800 (Pacific Standard Time),7,7,1,6739,1,47
129,Wed Dec 09 2020 15:37:14 GMT-0800 (Pacific Standard Time),Thu Dec 10 2020 15:37:14 GMT-0800 (Pacific Standard Time),1,7,3,2651,1,176
130,Fri Dec 11 2020 15:37:14 GMT-0800 (Pacific Standard Time),Sat Dec 26 2020 15:37:14 GMT-0800 (Pacific Standard Time),1,4,5,607,1,348
131,Wed Dec 09 2020 15:37:14 GMT-0800 (Pacific Standard Time),Wed Dec 16 2020 15:37:14 GMT-0800 (Pacific Standard Time),13,1,1,11338,1,72
132,Mon Dec 07 2020 15:37:14 GMT-0800 (Pacific Standard Time),Sun Dec 20 2020 15:37:14 GMT-0800 (Pacific Standard Time),5,1,4,1629,1,425
133,Mon Dec 07 2020 15:37:14 GMT-0800 (Pacific Standard Time),Thu Dec 24 2020 15:37:14 GMT-0800 (Pacific Standard Time),2,12,1,9805,1,212
134,Sun Dec 06 2020 15:37:14 GMT-0800 (Pacific Standard Time),Sat Dec 26 2020 15:37:14 GMT-0800 (Pacific Standard Time),5,2,3,6739,1,522
135,Mon Dec 07 2020 15:37:14 GMT-0800 (Pacific Standard Time),Tue Dec 15 2020 15:37:14 GMT-0800 (Pacific Standard Time),14,1,0,10827,1,484
136,Fri Dec 11 2020 15:37:14 GMT-0800 (Pacific Standard Time),Wed Dec 23 2020 15:37:14 GMT-0800 (Pacific Standard Time),6,2,4,2140,1,578
137,Thu Dec 10 2020 15:37:14 GMT-0800 (Pacific Standard Time),Sun Dec 27 2020 15:37:14 GMT-0800 (Pacific Standard Time),5,4,3,1629,1,990
138,Wed Dec 09 2020 15:37:14 GMT-0800 (Pacific Standard Time),Tue Dec 29 2020 15:37:14 GMT-0800 (Pacific Standard Time),2,8,4,607,1,497
139,Tue Dec 08 2020 15:37:14 GMT-0800 (Pacific Standard Time),Wed Dec 23 2020 15:37:14 GMT-0800 (Pacific Standard Time),7,1,4,9805,1,313
140,Mon Dec 07 2020 15:37:14 GMT-0800 (Pacific Standard Time),Sun Dec 20 2020 15:37:14 GMT-0800 (Pacific Standard Time),11,3,1,3162,1,232
141,Sat Dec 05 2020 15:37:14 GMT-0800 (Pacific Standard Time),Thu Dec 17 2020 15:37:14 GMT-0800 (Pacific Standard Time),11,3,1,7250,1,908
142,Mon Dec 07 2020 15:37:14 GMT-0800 (Pacific Standard Time),Sun Dec 27 2020 15:37:14 GMT-0800 (Pacific Standard Time),3,11,1,5206,1,75
143,Thu Dec 10 2020 15:37:14 GMT-0800 (Pacific Standard Time),Sun Dec 27 2020 15:37:14 GMT-0800 (Pacific Standard Time),5,8,1,607,1,970
144,Mon Dec 07 2020 15:37:14 GMT-0800 (Pacific Standard Time),Sun Dec 13 2020 15:37:14 GMT-0800 (Pacific Standard Time),8,3,1,7761,1,510
